index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
10,Clean Weight / TIGHT,ROUND,TIGHT,1,1,0.913434,0.0943928,10.1085,0,-1.80877e-09,-6.49274,-4.71534,-7.47278,-11.934,-18.0883,-15.013,-1.52457,-7.52817,0.408333,-120.775,-4.25657e-09,56.9236
11,Club Anchor / TIGHT,ROUND,TIGHT,1,1,0.921457,0.101,9.6069,0,-1.85215e-09,-5.8625,-4.34887,-7.18346,-11.0463,-16.8976,-14.3227,-0.913552,-6.77795,0.744444,-120.194,-5.9632e-09,57.159
12,Deep Concrete / TIGHT,ROUND,TIGHT,1,1,0.918528,0.0957563,10.0319,0,-2.39107e-09,-6.37558,-4.64464,-7.39087,-11.7179,-17.8855,-14.9345,-1.44208,-7.44006,0.475,-121.993,-1.11201e-11,57.7556
13,Round Hammer / TIGHT,ROUND,TIGHT,1,1,0.884001,0.0870669,10.4963,0,-4.27989e-09,-7.27017,-5.18397,-7.74967,-13.0521,-19.6251,-15.7906,-2.49105,-9.07356,0.361111,-137.748,-5.72413e-10,65.9706
14,Dark Pulse / TIGHT,ROUND,TIGHT,1,1,0.920773,0.100587,9.65746,0,-2.58424e-09,-6.26524,-4.43586,-7.05837,-11.1419,-16.9211,-14.9351,-0.868118,-6.60447,0.591667,-115.531,-5.47251e-09,54.8646
15,Tight Basement / TIGHT,ROUND,TIGHT,1,1,0.915813,0.094227,10.1403,0,-8.12396e-10,-6.91349,-4.82123,-7.24107,-11.9302,-18.1647,-15.7235,-1.77277,-8.01498,0.466667,-132.015,-1.44686e-09,63.7599
16,Sub Foundation / TIGHT,ROUND,TIGHT,1,1,0.921906,0.0946353,10.1313,0,7.8323e-09,-6.43815,-4.44634,-7.29455,-12.0334,-18.7643,-15.4388,-1.82343,-8.50855,0.616667,-145.266,8.26066e-10,70.8347
17,Warm Reactor / TIGHT,ROUND,TIGHT,1,1,0.922508,0.095977,10.0257,0,-1.36697e-09,-6.33031,-4.41856,-7.26604,-11.7936,-18.3943,-15.3455,-1.41324,-7.95003,0.65,-138.43,8.2619e-11,67.0437
18,Black Drum / TIGHT,ROUND,TIGHT,1,1,0.916584,0.101523,9.59635,0,7.17927e-10,-6.55112,-4.88736,-6.83995,-11.0372,-16.2739,-15.6876,-0.969236,-6.08905,0.583333,-105.949,-2.08013e-08,50.2245
19,Sub Vault / TIGHT,ROUND,TIGHT,1,1,0.921111,0.0995012,9.71796,0,-9.12971e-10,-6.27425,-4.58716,-6.8646,-11.2298,-17.4602,-15.3335,-1.21493,-7.29644,0.686111,-131.127,4.39268e-09,63.6402
20,Clean Weight / HEAVY,ROUND,HEAVY,1,1,0.922571,0.11261,8.92748,0.00833333,3.09997e-08,-5.74156,-4.08841,-7.04365,-9.99011,-14.5023,-14.2121,0.0246412,-4.09874,1.1,-76.1906,-1.25249e-07,33.7424
21,Club Anchor / HEAVY,ROUND,HEAVY,1,1,0.922571,0.117414,8.59244,0.0270833,-3.96353e-08,-5.68424,-3.9745,-6.97433,-9.38895,-13.7528,-13.6972,0.346064,-3.72261,1.61667,-75.4553,-5.94472e-07,33.7516
22,Deep Concrete / HEAVY,ROUND,HEAVY,1,1,0.922571,0.114292,8.80802,0.0166667,3.42398e-09,-5.63871,-4.05817,-6.95435,-9.82498,-14.2686,-14.1905,0.213433,-3.86789,1.19444,-75.8604,8.45113e-09,33.6647
23,Round Hammer / HEAVY,ROUND,HEAVY,1,1,0.922571,0.110807,9.06245,0.00625,7.98797e-09,-6.1445,-4.29657,-6.87055,-10.2337,-14.6734,-14.8129,-0.139808,-4.40771,0.841667,-81.0002,-2.83758e-07,36.8242
24,Dark Pulse / HEAVY,ROUND,HEAVY,1,1,0.922571,0.118976,8.51586,0.0375,-4.83075e-08,-5.62184,-4.07314,-6.76432,-9.30173,-13.6382,-14.253,0.544961,-3.43904,1.30833,-74.6767,-4.71351e-07,33.7432
25,Tight Basement / HEAVY,ROUND,HEAVY,1,1,0.922571,0.118396,8.59182,0.0354167,-6.00586e-08,-5.96907,-4.03576,-6.71337,-9.56456,-13.5887,-14.9228,0.358887,-3.58914,1.22778,-77.1695,-1.21008e-07,35.7075
26,Sub Foundation / HEAVY,ROUND,HEAVY,1,1,0.922571,0.112195,8.85886,0.0375,-1.16773e-07,-5.62042,-4.07088,-6.91917,-9.7554,-14.7926,-14.569,0.192869,-4.45253,1.27778,-93.007,-9.56635e-08,43.5769
27,Warm Reactor / HEAVY,ROUND,HEAVY,1,1,0.922571,0.11606,8.64929,0.0479167,-1.49486e-07,-5.54419,-4.0636,-6.84021,-9.46265,-14.1247,-14.4403,0.429956,-3.60076,1.36667,-81.9022,-2.22532e-07,37.6042
28,Black Drum / HEAVY,ROUND,HEAVY,1,1,0.922571,0.121765,8.41596,0.04375,-1.62523e-07,-5.96016,-4.14808,-6.39837,-9.37602,-13.1948,-15.0963,0.598098,-3.15983,1.28333,-73.1836,2.04346e-06,33.7366
29,Sub Vault / HEAVY,ROUND,HEAVY,1,1,0.922571,0.122192,8.32869,0.0604167,-2.70447e-07,-5.74228,-3.98309,-6.50533,-9.1025,-13.2901,-14.8349,0.842264,-2.93216,1.46667,-76.603,-1.01266e-06,35.51
30,Clean Weight / SUSTAIN,ROUND,SUSTAIN,1,1,0.920731,0.108037,9.27901,0,1.33853e-08,-6.22944,-4.41206,-7.17703,-10.5172,-14.9773,-14.7016,-0.323588,-4.65737,0.552778,-76.2755,-6.77252e-07,33.797
31,Club Anchor / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114984,8.78581,0.00833333,4.15922e-08,-5.85075,-4.1513,-6.91796,-9.73973,-14.0697,-13.9998,0.0770767,-4.12009,1.16944,-75.3605,-4.56499e-07,33.7451
32,Deep Concrete / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.110078,9.15132,0.00208333,3.85892e-08,-6.12759,-4.37127,-7.09705,-10.2571,-14.7318,-14.66,-0.176149,-4.47662,0.736111,-75.8284,5.50041e-07,33.7831
33,Round Hammer / SUSTAIN,ROUND,SUSTAIN,1,1,0.915183,0.105642,9.49111,0,3.59472e-08,-6.95017,-4.73,-7.20628,-10.9288,-15.0446,-15.262,-0.849536,-5.05688,0.447222,-75.507,-1.32758e-07,33.7986
34,Dark Pulse / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114619,8.8552,0.00625,-9.95563e-08,-6.07367,-4.22405,-6.8008,-9.9048,-14.1701,-14.732,0.123418,-3.88832,0.880556,-74.726,-1.88481e-06,33.6404
35,Tight Basement / SUSTAIN,ROUND,SUSTAIN,1,1,0.921081,0.113498,8.99753,0,3.12777e-09,-6.6558,-4.43097,-6.91851,-10.0807,-14.0671,-15.4073,-0.202677,-4.25937,0.686111,-73.9179,-6.94264e-07,33.6895
36,Sub Foundation / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.112277,8.99124,0.0125,-1.18465e-08,-6.1407,-4.3077,-6.86879,-10.0795,-14.4641,-15.0846,-0.078954,-4.40952,0.991667,-80.6091,5.81826e-07,37.0696
37,Warm Reactor / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114894,8.86009,0.01875,-1.23066e-07,-6.06262,-4.24624,-6.82382,-9.94661,-14.0709,-14.9736,0.119703,-3.87724,1.04444,-74.3217,-1.28704e-06,33.7646
38,Black Drum / SUSTAIN,ROUND,SUSTAIN,1,1,0.921685,0.115091,8.89036,0,-8.55456e-08,-6.45596,-4.54839,-6.63815,-9.95038,-13.9817,-15.5266,-0.0129572,-4.02561,0.722222,-73.7984,-2.27757e-06,33.7234
39,Sub Vault / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.118258,8.64988,0.01875,1.17626e-08,-6.17317,-4.29036,-6.59106,-9.61536,-13.5961,-15.0634,0.182077,-3.64548,1.05,-73.6834,2.83413e-06,33.7584
40,Clean Weight / MUTANT,ROUND,MUTANT,1,1,0.919234,0.102588,9.58696,0,1.52363e-09,-6.26526,-4.48172,-7.34496,-11.0352,-15.8839,-14.5391,-0.929474,-5.68208,0.561111,-89.9059,3.99112e-07,40.7194
41,Club Anchor / MUTANT,ROUND,MUTANT,1,1,0.921805,0.107866,9.18867,0,-1.17715e-08,-5.94253,-4.29061,-7.21458,-10.1842,-15.2331,-13.9253,-0.532047,-5.14933,0.858333,-89.5616,2.15484e-07,40.8938
42,Deep Concrete / MUTANT,ROUND,MUTANT,1,1,0.921661,0.104057,9.48729,0,-1.18242e-08,-6.16986,-4.42977,-7.24518,-10.7969,-15.7808,-14.5783,-0.728332,-5.44562,0.572222,-90.6873,-1.70947e-07,41.4539
43,Round Hammer / MUTANT,ROUND,MUTANT,1,1,0.913712,0.0970182,9.96812,0,6.54533e-09,-6.89433,-4.90758,-7.30205,-11.6856,-16.8335,-15.2659,-1.36225,-6.6864,0.372222,-101.763,2.62209e-08,47.3499
44,Dark Pulse / MUTANT,ROUND,MUTANT,1,1,0.922571,0.109187,9.13818,0.00208333,9.24101e-09,-6.10055,-4.39515,-6.9985,-10.2375,-14.8256,-14.5169,-0.375436,-4.88285,0.680556,-86.0498,-1.98975e-07,39.4918
45,Tight Basement / MUTANT,ROUND,MUTANT,1,1,0.91878,0.103111,9.54568,0,-3.25549e-09,-6.75716,-4.55185,-7.12693,-10.9125,-15.7912,-15.3858,-0.972274,-5.79046,0.55,-97.2729,-5.97645e-08,45.7592
46,Sub Foundation / MUTANT,ROUND,MUTANT,1,1,0.922571,0.101122,9.64043,0.00416667,1.79032e-09,-6.23887,-4.42876,-7.0495,-11.1045,-16.7527,-15.2096,-0.972171,-6.45772,0.763889,-116.109,-4.34442e-09,55.6841
47,Warm Reactor / MUTANT,ROUND,MUTANT,1,1,0.922571,0.104515,9.41959,0.00833333,-1.36999e-08,-6.14632,-4.39226,-7.07726,-10.706,-15.8073,-14.8689,-0.741514,-5.79155,0.805556,-102.02,5.38532e-10,48.0806
48,Black Drum / MUTANT,ROUND,MUTANT,1,1,0.920049,0.110924,9.10699,0,1.99612e-08,-6.57549,-4.69365,-6.68281,-10.3111,-14.4822,-15.3829,-0.413302,-4.51903,0.641667,-78.7062,-4.03524e-07,36.072
49,Sub Vault / MUTANT,ROUND,MUTANT,1,1,0.922571,0.107695,9.19807,0.00416667,-3.09996e-09,-6.29045,-4.37286,-6.83796,-10.3396,-15.2666,-15.1647,-0.291936,-5.2047,0.730556,-96.6749,-3.66058e-08,45.4883
50,Clean Attack,PUNCH,CORE,1,1,0.922571,0.0671,13.0652,0.0416667,-1.36419e-07,-6.03495,-5.21697,-11.0483,-22.9777,-39.7962,-19.59,-10.5338,-28.3108,0.580556,-300,-1.51821e-23,100.304
51,Pressure Point,PUNCH,CORE,1,1,0.922571,0.0660963,13.1962,0.0270833,-5.68706e-08,-5.86198,-5.64474,-11.0428,-22.5224,-36.6998,-19.8777,-9.445,-24.6478,0.536111,-300,1.74525e-20,127.508
52,Warehouse Knock,PUNCH,CORE,1,1,0.922571,0.0688104,12.8468,0.0604167,-2.39602e-07,-5.77145,-5.01422,-10.9781,-22.0745,-35.8036,-18.7176,-9.01328,-23.95,1.09167,-300,8.6364e-20,132.277
53,Fast Driver,PUNCH,CORE,1,1,0.922571,0.0705613,12.6284,0.0645833,-2.5784e-07,-5.83243,-5.01029,-10.2322,-21.1729,-36.0744,-18.8189,-9.40657,-25.1153,1.08056,-300,-8.27927e-22,120.181
54,Techno Nail,PUNCH,CORE,1,1,0.922571,0.0696772,12.738,0.0333333,-8.47095e-08,-5.85,-5.40387,-10.0583,-20.8637,-35.2328,-19.2662,-8.69815,-23.4979,0.658333,-300,4.14505e-20,128.964
55,Needle Punch,PUNCH,CORE,1,1,0.922571,0.0703546,12.6549,0.025,-4.73419e-08,-5.98576,-5.43605,-9.97537,-19.5273,-31.1566,-19.0169,-8.06879,-20.4835,0.563889,-293.072,7.58783e-18,149.72
56,Front Row,PUNCH,CORE,1,1,0.922571,0.0659606,13.215,0.00625,-9.29345e-09,-6.00517,-5.78915,-11.1807,-20.6104,-32.3023,-19.5845,-8.12094,-20.5176,0.458333,-287.95,-2.05745e-17,145.722
57,Steel Toe,PUNCH,CORE,1,1,0.922571,0.071403,12.5263,0.06875,-3.08472e-07,-5.70103,-5.05684,-10.1958,-19.9489,-32.0716,-18.2991,-8.29003,-21.1419,1.08611,-290.69,3.13044e-17,147.68
58,Impact Driver,PUNCH,CORE,1,1,0.922571,0.0667188,13.1148,0.00416667,-8.86484e-09,-6.13553,-5.75282,-10.45,-21.7582,-36.606,-20.2857,-9.40496,-25.2557,0.505556,-300,3.01977e-22,115.047
59,Concrete Punch,PUNCH,CORE,1,1,0.922571,0.0724758,12.3965,0.0645833,-2.69562e-07,-5.62586,-5.13809,-9.7393,-19.6793,-31.5468,-18.3468,-8.08691,-21.0179,1.16389,-300,-3.4195e-18,151.036
60,Clean Attack / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0619588,13.7576,0.0166667,-3.41933e-08,-6.01256,-5.90297,-12.2383,-26.1472,-46.2911,-21.2435,-12.3626,-33.2543,0.491667,-300,-2.51757e-28,55.503
61,Pressure Point / TIGHT,PUNCH,TIGHT,1,1,0.91844,0.0595691,14.0602,0,-2.28643e-09,-6.06524,-6.25634,-12.9407,-26.5677,-45.1485,-22.0234,-11.5935,-31.4598,0.405556,-300,-4.38573e-27,70.9125
62,Warehouse Knock / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.063853,13.496,0.0375,-1.27689e-07,-5.8662,-5.38601,-12.4256,-25.884,-43.9395,-20.3631,-11.4331,-30.6894,0.841667,-300,-7.91428e-26,78.1904
63,Fast Driver / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0641349,13.4578,0.0354167,-8.55682e-08,-5.83678,-5.67041,-11.6673,-25.6726,-44.9409,-20.6861,-12.1836,-32.7001,0.533333,-300,2.22739e-27,62.2423
64,Techno Nail / TIGHT,PUNCH,TIGHT,1,1,0.920466,0.0631113,13.5777,0,3.8946e-09,-6.04067,-5.91651,-11.6029,-25.0876,-43.1441,-21.0946,-11.3025,-30.2129,0.463889,-300,-1.90198e-26,73.8748
65,Needle Punch / TIGHT,PUNCH,TIGHT,1,1,0.919514,0.0633308,13.5386,0,-1.15015e-09,-6.18441,-5.92656,-11.6135,-22.8984,-38.1603,-20.839,-10.2706,-26.1099,0.411111,-300,-2.3973e-22,109.661
66,Front Row / TIGHT,PUNCH,TIGHT,1,1,0.903375,0.0593521,13.9484,0,-3.37227e-09,-6.2186,-6.44983,-12.7983,-24.0064,-38.9958,-21.4924,-9.95324,-25.8028,0.369444,-300,1.07985e-21,112.745
67,Steel Toe / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0657777,13.2381,0.0458333,-1.43776e-07,-5.75973,-5.54373,-11.4016,-23.083,-38.6226,-19.8352,-10.2489,-26.8681,0.744444,-300,-3.39691e-22,111.352
68,Impact Driver / TIGHT,PUNCH,TIGHT,1,1,0.912112,0.0591544,14.0608,0,-4.31159e-09,-6.37981,-6.44986,-12.4292,-26.0947,-45.473,-22.5056,-11.9084,-31.8464,0.366667,-300,-1.76295e-28,55.8972
69,Concrete Punch / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0662415,13.1771,0.0354167,-1.09977e-07,-5.74184,-5.5296,-11.1665,-23.2665,-39.3746,-20.0585,-10.0873,-26.9541,0.680556,-300,-3.6939e-23,102.61
70,Clean Attack / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0705781,12.6264,0.0625,-2.56218e-07,-5.95039,-4.894,-10.3268,-21.1989,-35.4925,-18.5669,-9.34523,-24.554,0.95,-300,-4.65449e-21,128.562
71,Pressure Point / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0699654,12.7027,0.0520833,-1.70127e-07,-5.75036,-5.35067,-10.2216,-20.3682,-33.122,-18.8552,-8.27632,-22.1172,0.738889,-300,-3.53665e-18,151.45
72,Warehouse Knock / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0711572,12.5561,0.0708333,-3.12303e-07,-5.77897,-4.87462,-10.4368,-20.4247,-32.5379,-18.1016,-8.03843,-21.545,1.15556,-293.269,-1.95033e-17,148.709
73,Fast Driver / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0737405,12.2461,0.0854167,-3.86753e-07,-5.84453,-4.79741,-9.62783,-19.3006,-32.3688,-18.0678,-8.18774,-22.2865,1.25278,-300,3.0879e-18,146.136
74,Techno Nail / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0731612,12.3149,0.0541667,-1.90999e-07,-5.76906,-5.20038,-9.40724,-19.1355,-31.1656,-18.5018,-7.59648,-20.5538,0.938889,-299.697,8.81735e-18,153.227
75,Needle Punch / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0738525,12.2353,0.0458333,-1.45704e-07,-5.90116,-5.20065,-9.36117,-18.3028,-28.3645,-18.3175,-7.21463,-18.5529,0.741667,-260.103,-2.76429e-16,131.968
76,Front Row / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0695094,12.761,0.03125,-7.17209e-08,-5.895,-5.44543,-10.4674,-19.4519,-30.1579,-18.7502,-7.59923,-18.9918,0.580556,-261.921,6.38583e-16,132.396
77,Steel Toe / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0738276,12.2374,0.0833333,-4.03349e-07,-5.67418,-4.96448,-9.66402,-18.8223,-29.626,-17.816,-7.52571,-19.2232,1.26111,-261.396,1.20863e-15,132.316
78,Impact Driver / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0712831,12.5404,0.0541667,-1.74803e-07,-5.93354,-5.3854,-9.60079,-19.8256,-32.6213,-19.1091,-8.2849,-21.8588,0.669444,-300,-1.43905e-19,141.645
79,Concrete Punch / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0752264,12.0749,0.0833333,-3.79784e-07,-5.62463,-5.01933,-9.30782,-18.0659,-28.7288,-17.816,-7.13247,-18.4784,1.25,-260.402,-7.4706e-16,132.432
80,Clean Attack / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0696795,12.7384,0.0333333,-9.14327e-08,-6.19139,-5.32144,-10.2373,-19.6441,-31.8343,-19.0075,-8.24611,-21.5056,0.563889,-300,-1.04475e-19,151.954
81,Pressure Point / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0681999,12.9261,0.0104167,-1.55844e-08,-6.068,-5.69346,-10.5162,-19.5478,-30.3225,-19.5292,-7.50007,-19.2016,0.505556,-261.963,-6.13297e-16,132.214
82,Warehouse Knock / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0709975,12.577,0.0541667,-1.87361e-07,-5.8362,-5.06209,-10.4421,-19.4626,-30.2246,-18.3784,-7.50018,-19.1165,0.972222,-261.863,4.85619e-16,132.273
83,Fast Driver / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0736562,12.2577,0.0583333,-2.24761e-07,-5.94262,-5.10858,-9.54699,-18.1306,-29.2359,-18.3162,-7.52612,-19.3044,0.85,-271.377,-2.06865e-16,138.224
84,Techno Nail / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0724449,12.4024,0.01875,-2.4557e-08,-6.01754,-5.46772,-9.47772,-18.2919,-28.6936,-18.7837,-7.10182,-18.0565,0.566667,-260.447,-4.06522e-16,132.307
85,Needle Punch / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922451,0.0697276,12.7333,0,-2.81838e-09,-6.24381,-5.67668,-10.0347,-18.686,-28.8267,-19.2098,-7.71934,-18.673,0.494444,-260.583,-6.6629e-16,132.353
86,Front Row / SUSTAIN,PUNCH,SUSTAIN,1,1,0.91745,0.0645169,13.3601,0,-8.58398e-09,-6.25953,-6.1799,-11.2716,-20.0097,-30.4352,-20.0196,-7.56302,-19.0325,0.397222,-262.053,-4.17771e-16,132.006
87,Steel Toe / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0713191,12.5377,0.0520833,-2.04146e-07,-5.81283,-5.25353,-10.1294,-19.0467,-29.8976,-18.5155,-7.65466,-19.337,0.847222,-261.53,1.10999e-15,132.022
88,Impact Driver / SUSTAIN,PUNCH,SUSTAIN,1,1,0.920875,0.0692829,12.7731,0,3.43337e-09,-6.37728,-5.88522,-9.85819,-18.5798,-29.4359,-19.7974,-7.59702,-19.0957,0.5,-280.424,1.27782e-16,143.104
89,Concrete Punch / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.073166,12.3163,0.05,-1.88587e-07,-5.75891,-5.23096,-9.61552,-18.5258,-28.6699,-18.4378,-7.20143,-18.2653,0.866667,-260.398,1.30387e-15,132.109
90,Clean Attack / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.0629636,13.6179,0.01875,-4.53269e-08,-6.21734,-5.66201,-12.0638,-24.5595,-42.5163,-20.7944,-11.4878,-30.1916,0.497222,-300,-3.70706e-26,83.6982
91,Pressure Point / MUTANT,PUNCH,MUTANT,1,1,0.922422,0.0619533,13.757,0,1.59653e-09,-6.06379,-6.14508,-12.0278,-23.5197,-38.7437,-21.0524,-10.0461,-26.4002,0.427778,-300,1.31584e-21,113.209
92,Warehouse Knock / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.0658767,13.2251,0.0479167,-1.63096e-07,-5.87851,-5.30897,-11.7317,-22.8776,-37.897,-19.5226,-9.89253,-25.8826,0.880556,-300,-2.54565e-21,118.549
93,Fast Driver / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.0670035,13.0777,0.0479167,-1.59066e-07,-5.9518,-5.33422,-11.0405,-22.4665,-38.4802,-19.7697,-10.2855,-27.032,0.602778,-300,-4.26182e-23,105.82
94,Techno Nail / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.065947,13.2158,0.0104167,-1.42491e-08,-5.98358,-5.70989,-10.9331,-22.2213,-37.2911,-20.2006,-9.57133,-25.2149,0.505556,-300,1.29475e-21,115.251
95,Needle Punch / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.0660943,13.197,0.00208333,-5.17441e-09,-6.21652,-5.86467,-10.7599,-20.6846,-33.0159,-20.012,-8.75519,-22.0632,0.433333,-300,2.31141e-18,144.838
96,Front Row / MUTANT,PUNCH,MUTANT,1,1,0.921025,0.0623923,13.683,0,1.14625e-09,-6.18539,-6.11072,-12.1092,-21.6696,-34.2637,-20.5323,-8.80204,-21.9448,0.369444,-300,-1.32608e-18,146.692
97,Steel Toe / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.0680775,12.9401,0.0541667,-1.91538e-07,-5.84111,-5.28793,-10.988,-21.0969,-33.6735,-19.214,-8.8563,-22.4703,0.844444,-300,-1.5583e-18,145.646
98,Impact Driver / MUTANT,PUNCH,MUTANT,1,1,0.917784,0.0628911,13.5827,0,4.23527e-09,-6.27645,-6.10067,-11.3984,-23.1923,-39.1855,-21.2844,-10.1343,-27.1116,0.447222,-300,-1.15646e-23,100.061
99,Concrete Punch / MUTANT,PUNCH,MUTANT,1,1,0.922571,0.0689064,12.8348,0.0458333,-1.70928e-07,-5.74408,-5.43522,-10.5127,-20.6291,-33.7644,-19.2065,-8.76703,-22.9128,0.805556,-300,-1.62879e-19,138.844
100,Hard Clean,HARD,CORE,1,1,0.922072,0.0792647,12.1068,0,2.2095e-09,-8.18809,-7.71879,-10.3128,-14.387,-15.9313,-19.6643,-1.53688,-5.77344,0.25,-151.146,-2.27907e-11,80.4771
101,Peak Control,HARD,CORE,1,1,0.922571,0.0772773,12.1024,0.00208333,-9.49019e-09,-8.18561,-7.76423,-10.7694,-13.5557,-16.2299,-20.1137,-2.25322,-6.4216,0.238889,-178.557,2.06068e-12,94.9508
102,Flat Top,HARD,CORE,1,1,0.922571,0.0788763,12.4277,0.00416667,-5.44165e-09,-8.04397,-7.83524,-10.6305,-14.8164,-16.6005,-19.1852,-1.74762,-6.42623,0.438889,-135.427,2.30773e-11,72.4036
103,Redline,HARD,CORE,1,1,0.922571,0.0836777,11.5569,0.00833333,-2.06741e-08,-7.97676,-7.69132,-10.1987,-13.3106,-14.8348,-20.2138,-2.04231,-5.95532,0.475,-173.86,1.27744e-12,93.9362
104,Block Maker,HARD,CORE,1,1,0.922571,0.0798056,12.2773,0.00416667,-4.74338e-09,-7.88434,-8.16167,-10.8845,-14.4293,-15.8137,-18.8569,-2.5818,-6.93862,0.258333,-136.135,3.8661e-11,72.3043
105,Crushed Rail,HARD,CORE,1,1,0.922002,0.0816456,12.2622,0,7.55317e-09,-7.87237,-7.75598,-10.3871,-14.7264,-16.3905,-19.1504,-1.6189,-5.77864,0.552778,-138.299,-3.13255e-10,75.3817
106,Clipped Concrete,HARD,CORE,1,1,0.922571,0.0742831,12.5017,0.00625,-8.36166e-09,-7.8684,-8.00414,-10.9164,-14.6563,-16.7261,-18.7968,-2.50274,-7.60467,0.388889,-178.037,-6.10673e-12,95.1589
